id	sprg	gruppe	retning
650	Flere opgaver i den offentlige sektor skal fremover løses af private virksomheder	1	positiv
651	Offentlige institutioner tager for mange hensyn til religiøse minoriteter, for eksempel ved at tilbyde måltider uden svinekød	3	positiv
652	Investering i vejnettet haster mere end investering i kollektiv trafik	4	positiv
654	Det er muligt at spare penge i den offentlige sektor, uden at det går ud over den offentlige velfærd	5	negativ
656	Kommuneskatten i Randers Kommune skal sættes op og pengene skal bruges på bedre velfærd	5	positiv
664	Randers Kommune skal gøre det billigere at drive virksomhed	6	positiv
666	Der skal opsættes flere anlæg til vedvarende energi som vindmøller og solceller i Randers Kommune	7	positiv
667	Randers Kommune skal sikre frokostordning i folkeskolen, selv om det kan tage penge fra andre opgaver	0	positiv
671	Randers Kommune skal sikre brugbare beskyttelsesrum, selv om det kan betyde færre penge til andre områder	14	positiv
672	Ældre skal kunne tilkøbe ekstra service på de kommunale plejehjem	8	positiv
675	Randers Kommune skal prioritere, at skoleelever bliver blandet efter etnicitet og social baggrund – også selv om det kan gå ud over forældrenes fri skolevalg	9	positiv
676	Der skal indføres højere brugerbetaling på kultur- og fritidstilbud som teatre, ungdomsklubber og biblioteksarrangementer	8	positiv
678	Der skal etableres flere parkeringspladser i Brøndby Kommune	4	positiv
679	Politikerne skal forhindre opførelse af moskeer	3	negativ
681	Brøndby Kommune skal fremme opførelsen af flere almene lejeboliger	10	positiv
682	Der skal investeres mere i kulturlivet i Ringkøbing-Skjern Kommune	11	positiv
683	Det skal være lettere at få byggetilladelse i Ringkøbing-Skjern Kommune	10	positiv
685	Natur er vigtigere end byggeri af nye sommerhuse	16	negativ
686	Ringkøbing-Skjern Kommune skal investere mere i offentlig transport mellem kommunens byer	17	positiv
688	Det skal være lettere at få byggetilladelse i Odder Kommune	10	positiv
690	Odder Kommune skal investere mere i offentlig transport mellem kommunens byer	17	positiv
691	Der må gerne bygges flere højhuse i min kommune	10	positiv
692	Der skal investeres mere i kulturlivet i Randers Kommune	11	positiv
693	Det skal være lettere at få byggetilladelse i Randers Kommune	10	positiv
698	Der bliver bygget for mange højhuse	10	negativ
702	Politikerne skal forhindre opførelse af moskeer	3	negativ
703	Der skal etableres flere parkeringspladser i Aarhus Kommune	4	positiv
704	Kommunen skal betale for at genoprette de busruter, Region Midtjylland har nedlagt, som fx mellem Grenå og Randers	17	positiv
705	Kommunen skal prioritere idrætsforeninger og -faciliteter i kommunens mindre byer frem for i Næstved by	12	positiv
706	Næstved Kommune skal have flere solcelleparker og vindmøller på land	7	positiv
707	Nyborg Kommune skal servere mere vegetarisk mad og mindre kød på kommunens plejehjem	7	positiv
708	Det skal være sværere at få tilladelse til at rive bygninger ned i Nyborg	10	negativ
709	Det er en god idé at lukke de mindre skoleafdelinger i f.eks. Frørup og Aunslev, hvor elevtallet har været faldende over en årrække, for at spare penge	12	negativ
710	En ny kommunal svømmehal bør ligge i Søndersø	11	positiv
711	Nordfyns Kommune skal producere mere grøn energi, end kommunens borgere selv skal bruge	7	positiv
712	Kommunen skal bruge flere penge på at holde liv i butikslivet i Grenå	6	positiv
713	Der skal udstykkes flere byggegrunde i de små byer som for eksempel i Assendrup	10	positiv
714	Den foreslåede store energiklynge på Djursland skal placeres ved landsbyen Homå, selvom det kan være til gene for borgerne	-1	negativ
715	Der skal være en frokostordning for børnene i alle daginstitutioner	0	positiv
716	Kommunen skal bidrage til den grønne omstilling ved at tillade energiparker som for eksempel solcelleanlæg og biogasanlæg ved Torrild	7	positiv
717	Letbanens etape 2 til Vollsmose og Seden fra centrum af Odense skal etableres	17	positiv
719	Der skal satses mere på vedvarende energikilder ved at få flere vindmøller og solcelleanlæg i kommunen	7	positiv
720	Der skal etableres flere parkeringspladser uden tidsbegrænsning i Ringsted midtby	4	positiv
721	Kommunen skal gøre mere for at sikre elevernes trivsel på skolerne	0	positiv
722	Det skal være en prioritet for kommunen, at mindst et af feriebyprojekterne i Ringkøbing – Raunonia eller Fjordstaden – bliver til virkelighed	16	positiv
723	Der skal bygges flere solceller og vindmøller på land	7	positiv
724	Kommunen skal hæve grænsen for, hvornår en skole skal lukkes på grund af for få elever. Den nuværende grænse er på 60 elever	12	negativ
725	Der skal opføres flere solceller eller vindmøller i kommunen	7	positiv
726	Det er en god idé at kommunen investerer i at gøre kommunens naturområder attraktive for flere turister, som ved Saksild Strand hvor der er planer om at bygge feriehytter ved det gamle badehotel	16	positiv
727	Kommunen skal prioritere udvikling i den sydlige og østlige del af kommunen højere	12	positiv
728	Der skal bruges flere penge på at vedligeholde kommunens bygninger, for eksempel rådhus, skoler og daginstitutioner	0	positiv
729	Planerne om klimabroen skal droppes til fordel for en Østbro	7	negativ
730	Det er en god idé, at der bygges flere højhuse i Randers	10	positiv
731	Odsherred Kommune skal arbejde for et hurtigere stop for muslingeskrab i Isefjorden	18	positiv
732	Kommunen skal finde plads til både flere solcelleparker og vindmøller på land	7	positiv
733	Kolindsund skal gendannes som sø	18	positiv
734	Flere gader i Odense skal laves om til cykelgader, hvor biler ikke må køre	4	negativ
735	Der skal bygges flere daginstitutioner	0	positiv
736	Morsø Kommune skal satse på udvikling i og omkring Nykøbing by fremfor de mindre byer	12	negativ
737	Det er en god idé, at kommunen er med til at finansiere det årlige klimafolkemøde	7	positiv
738	Morsø Kommune skal lave flere energizoner til opstilling af vindmøller og solceller end de to, der allerede er planlagt	7	positiv
739	Alle kommunens møder med virksomheder skal være åbne og med referat	13	positiv
740	Der skal etableres en solcellepark nord for Gadstrup	7	positiv
741	Der skal anlægges en cykelsti fra Nordlangeland til Sydlangeland	16	positiv
742	Kommunen skal ansætte en bosætningskonsulent for at tiltrække nye borgere	-1	positiv
743	Der skal være to timers gratis parkering i Køge midtby	4	positiv
744	Det er en god idé at etablere ‘Vallø Energipark’ med høje vindmøller i Vallø Storskov	7	positiv
745	Den kommende statsvej, der skal mindske den stigende biltrafik i Køge, skal placeres nord for Herfølge i Køge og ikke syd for Hårlev i Stevns	-1	positiv
746	Kalundborg Kommune skal bruge penge på at gøre Campus Kalundborg mere attraktivt for unge	0	positiv
747	Københavns Kommune skal oprette akutskoler til folkeskoleelever, der har været grænseoverskridende eller voldelige over for klassekammerater eller lærere	0	positiv
748	Den kommende kunstige halvø Lynetteholm er en vigtig del af udviklingen af København	-1	positiv
749	Det er en god idé at nedlægge parkeringspladser i centrum af København by	4	negativ
750	Planerne om opførelsen af Marina City - et større samlet boligområde ved havnen og ny lystbådehavn - skal føres ud i livet, selv om de samlede omkostninger er usikre	10	positiv
751	Der skal bygges boliger langs åen i Kolding midtby, blandt andet hvor der lige nu er parkeringspladser	10	positiv
752	Kommunen skal gøre mere for at sikre elevernes trivsel på skolerne	0	positiv
753	Kommunen skal bidrage til fuldførelsen af planerne om en udvidelse af Odense Havn på en million kvadratmeter samt etablering af en bredere sejlrende gennem Odense Fjord	6	positiv
754	Kommunen skal genoplive planerne om at etablere en sluse i Kerteminde havn for at klimasikre kommunen	14	positiv
755	Kerteminde Kommune skal give de ældre mere hjemmehjælp, selv om det kan komme til at betyde besparelser på andre områder	15	positiv
756	Morsø Kommune skal skære ned på støtten til Kulturmødet på Mors	11	negativ
757	Det er en god idé at bygge en stor ny daginstitution med plads til op til 180 børn ved Ørsted Skole i Rudkøbing	0	positiv
758	Der skal ikke bygges flere boliger i Lejre frem mod 2030	10	negativ
759	Middelfart Kommune skal droppe førskoleordningen, hvor kommende skolebørn stopper i børnehaven og starter i SFO i foråret	0	positiv
760	Kommunen skal prioritere udviklingen af de mindre byer, for eksempel Harndrup, Gelsted og Husby, frem for Middelfart by	12	positiv
761	Kommunen skal genindføre tilskud til hjemmepasning	0	positiv
762	Kommunens tilladelse til at opføre et højhus på Jernbanegade i Hobro skal trækkes tilbage	10	negativ
763	Kommunen skal bakke op om opførelsen af et stort biogasanlæg nær Hobro	6	positiv
764	Læsø Kommune skal gøre mere for at øens beboere bliver boende på øen	-1	negativ
765	Læsø skal lægges sammen med Frederikshavn Kommune	-1	negativ
766	Brugerbetalingen til SFO og daginstitutioner skal sættes ned, selv hvis det vil betyde besparelser på andre velfærdsområder	0	positiv
767	Letbanen er en gevinst for kommunen	17	positiv
768	Der skal være betalingsparkering i centrum af Lyngby by	4	negativ
769	Lolland Kommune skal bruge flere penge på at forhindre oversvømmelser i Nakskov by	14	positiv
770	Lolland Kommune skal have flere solcelleparker	7	positiv
771	Lemvig Kommune skal give tilladelse til flere vedvarende energiprojekter på land	7	positiv
772	Lemvig Kommune skal lukke mindst en folkeskole for at spare penge	12	negativ
773	Lemvig Kommune skal spare på udgifterne til idrætshaller og svømmehaller	11	negativ
